"CPC V10","CPCpartial","ISIC Rev3","ISICpartial","Comment"
"45250",0,"3000",1,
"45260",0,"3000",1,
"45270",0,"3000",1,
"45280",0,"3000",1,
"45290",0,"3000",1,
"46111",0,"3110",1,
"46112",0,"3110",1,
"46113",0,"3110",1,
"46121",0,"3110",1,
"46122",0,"3110",1,
"46131",0,"3110",1,
"46132",0,"3110",1,
"46211",0,"3120",1,
"46212",0,"3120",1,
"46213",0,"3120",1,
"46214",0,"3120",1,
"46220",0,"3120",1,
"46310",0,"3130",1,
"46320",0,"3130",1,
"46330",0,"3190",1,
"46340",0,"3130",1,
"46350",0,"3130",1,
"46360",0,"3130",1,
"46410",0,"3140",1,
"46420",0,"3140",1,
"46430",0,"3140",1,
"46510",0,"3150",1,
"46520",0,"3150",1,
"46531",0,"3150",1,
"46532",0,"3150",1,
"46539",0,"3150",1,
"46541",0,"3150",1,
"46542",0,"3150",1,
"46910",0,"3190",1,
"46920",0,"3190",1,
"46930",0,"3190",1,
"46940",0,"3190",1,
"46950",0,"3190",1,
"46960",0,"3190",1,
"47110",0,"3210",1,
"47120",0,"3210",1,
"47130",0,"3210",1,
"47140",0,"3210",1,
"47150",0,"3210",1,
"47160",0,"3210",1,
"47171",0,"3210",1,
"47172",0,"3210",1,
"47173",0,"3210",1,
"47211",0,"3220",1,
"47212",0,"3220",1,
"47220",0,"3220",1,
"47311",0,"3230",1,
"47312",0,"3230",1,
"47313",0,"3230",1,
"47321",0,"3230",1,
"47322",0,"3230",1,
"47323",0,"3230",1,
"47331",0,"3230",1,
"47332",0,"3230",1,
"47401",0,"3220",1,
"47402",0,"3230",1,
"47403",1,"3220",1,
"47403",1,"3230",1,
"47403",1,"3312",1,
"47510",0,"2429",1,
"47520",1,"2213",1,"Audio media (publishing)"
"47520",1,"2230",1,"Packaged software, audio and other media (reproduction)"
"47520",1,"7220",1,"Package software (publishing) and custom software"
"47600",0,"3210",1,
"48110",0,"3311",1,
"48120",0,"3311",1,
"48130",0,"3311",1,
"48140",0,"3311",1,
"48150",0,"3311",1,
"48160",0,"3311",1,
"48170",0,"3311",1,
"48180",0,"3311",1,
"48211",0,"3312",1,
"48212",0,"3312",1,
"48220",0,"3312",1,
"48231",0,"3312",1,
"48232",0,"3312",1,
"48233",0,"3312",1,
"48241",0,"3312",1,
"48242",0,"3312",1,
"48243",0,"3312",1,
